id,h3_index_7,h3_index_8,geoid10,commarea,poi_type,name,poi_category
20217109,872664c1effffff,882664c1e3fffff,17031081403,8,ferry_terminal,Shoreline Sightseeing,transport
20217442,872664c1affffff,882664c1adfffff,17031839100,32,ferry_terminal,Union Station/Willis Tower,transport
269691663,872664d98ffffff,882664d9e3fffff,17031120200,12,bicycle,Edgebrook Cycle,shopping
271275603,872664c1effffff,882664c1a9fffff,17031320100,32,theatre,Storefront Theater,entertainment
282370094,87275936bffffff,88275936b1fffff,17031760803,76,convenience,7-Eleven,grocery
286372562,872664c10ffffff,882664c107fffff,17031070300,7,fast_food,Chipotle,food_drink
287160477,872664c12ffffff,882664c12bfffff,17031070300,7,books,DePaul University Bookstore,shopping
287160478,872664c12ffffff,882664c12bfffff,17031070300,7,post_office,Lincoln Park Postal Store,services
306737605,872664c1affffff,882664c1a9fffff,17031839100,32,fast_food,Subway,food_drink
306737694,872664c1affffff,882664c1a9fffff,17031320400,32,fast_food,Jollibee,food_drink
306741002,872664c18ffffff,882664c18dfffff,17031081402,8,restaurant,Bubba Gump Shrimp Company,food_drink
306742663,872664c1affffff,882664c1a9fffff,17031320400,32,pharmacy,CVS Pharmacy,health
306744421,872664c1affffff,882664c1a9fffff,17031320100,32,stationery,Staples,shopping
307455970,872664c1affffff,882664c1a9fffff,17031320100,32,fast_food,McDonald's,food_drink
308676840,872664c12ffffff,882664c12bfffff,17031070400,7,fuel,Mobil,transport
310690970,872664c1affffff,882664c1a9fffff,17031320400,32,books,Barnes & Noble,shopping
311438932,872664d88ffffff,882664d883fffff,17031031000,3,theatre,Neofuturists,entertainment
313107974,872664c1cffffff,882664c1c7fffff,17031081402,8,cinema,Navy Pier IMAX Theatre,entertainment
313771462,872664ca9ffffff,882664ca91fffff,17031838200,28,fast_food,Sbarro,food_drink
318274065,872664c1affffff,882664c1a9fffff,17031320400,32,restaurant,Pizano's Pizza & Pasta,food_drink
318274413,872664c1affffff,882664c1a9fffff,17031320100,32,fast_food,Jimmy John's,food_drink
318276729,872664c10ffffff,882664c103fffff,17031071400,7,cafe,Park Place Cafe,food_drink
345385501,872664c10ffffff,882664c10dfffff,17031063100,6,fast_food,Clark Street Dog,food_drink
346210195,872664c12ffffff,882664c12bfffff,17031070300,7,restaurant,Lou Malnati's Pizzeria,food_drink
346234680,872664d8bffffff,882664d8b1fffff,17031830800,4,cafe,Starbucks,food_drink
346235240,872664d8bffffff,882664d8b1fffff,17031830800,4,restaurant,La Amistad,food_drink
347158474,872664c1effffff,882664c1e7fffff,17031839100,32,pub,Midtown Kitchen & Bar,nightlife
347159885,872664c13ffffff,882664c13bfffff,17031071500,7,cafe,Starbucks,food_drink
347160446,872664c13ffffff,882664c13bfffff,17031071500,7,restaurant,Twin Anchors Restaurant & Tavern,food_drink
347162170,872664c12ffffff,882664c12bfffff,17031070300,7,cafe,Savor the Flavor,food_drink
347301872,872664d8bffffff,882664d8b3fffff,17031050200,5,cafe,Starbucks,food_drink
347433848,872664c12ffffff,882664c12bfffff,17031070400,7,cafe,Starbucks,food_drink
347433861,872664c12ffffff,882664c129fffff,17031070500,7,pub,Rocks Lincoln Park,nightlife
348168844,872664d89ffffff,882664d895fffff,17031830700,3,bicycle,Broadway Bikes,shopping
349259594,872664c12ffffff,882664c12bfffff,17031070500,7,pub,Gaslight,nightlife
354049578,872664564ffffff,8826645643fffff,17031490901,49,school,All Saints School,education
354049908,872664cacffffff,882664cac9fffff,17031240200,24,school,Annunciation School,education
354050354,872664cd5ffffff,882664cd53fffff,17031670700,67,school,Assumption School,education
354051618,872664c86ffffff,882664c861fffff,17031250400,25,school,Bethany School,education
354094979,872664c8dffffff,882664c8d5fffff,17031301600,30,school,Saint Agnes of Bohemia School,education
354100900,872664ca5ffffff,882664ca57fffff,17031210900,21,school,Concordia School,education
354102023,872664ca0ffffff,882664ca05fffff,17031210400,21,university,DeVry University,education
354102692,872664c8cffffff,882664c8c1fffff,17031838700,29,school,Ebenezer School,education
354106224,872664520ffffff,882664520bfffff,17031560800,56,school,Gloria Dei School,education
354106280,872664cd1ffffff,882664cd1bfffff,17031671300,67,school,Golgotha School,education
354106984,872664c88ffffff,882664c881fffff,17031301803,30,school,Grace School,education
354110357,872664565ffffff,8826645655fffff,17031491400,49,school,Holy Rosary School,education
354110443,872664cacffffff,882664cacbfffff,17031242000,24,school,Holy Trinity High School,education
354111030,872664cf1ffffff,882664cf1bfffff,17031835900,38,school,Horner School,education
354116991,872664520ffffff,8826645203fffff,17031561100,56,school,Kinzie Elementary School,education
354119589,872664cf2ffffff,882664cf2bfffff,17031590600,59,school,Longfellow School,education
354120955,872664cd0ffffff,882664cd07fffff,17031660400,66,school,Nazareth School,education
354122012,872664ca2ffffff,882664ca67fffff,17031151002,15,school,Midwest Christian Academy,education
354122227,872664cb5ffffff,882664cb0bfffff,17031170200,17,school,Messiah School,education
354127974,872664525ffffff,882664525dfffff,17031560300,56,school,Our Lady of the Snows School,education
354128001,872664cc9ffffff,882664cc91fffff,17031510300,51,school,Our Lady School,education
354128326,872664564ffffff,8826645647fffff,17031491000,49,school,Kwame Nkrumah Academy,education
354129183,872664c12ffffff,882664c12dfffff,17031070700,7,school,Saint Alphonsus High School,education
354129249,872664cc8ffffff,882664cc81fffff,17031480300,48,school,Saint Ailbe School,education
354130371,872664c80ffffff,882664c80dfffff,17031250600,25,school,Saint Angela School,education
354130840,872664c83ffffff,882664c83bfffff,17031831400,25,school,Plato School,education
354131407,872664cd4ffffff,882664cd4dfffff,17031580502,58,school,Peace Lutheran School,education
354132094,872664d8bffffff,882664d8b3fffff,17031050100,5,school,Pilgrim Lutheran School,education
354133588,872664c81ffffff,882664c815fffff,17031252201,25,school,Chicago Jesuit Academy,education
354134045,872664d88ffffff,882664d881fffff,17031030900,77,school,Saint Gregory High School,education
354135605,872664565ffffff,882664560bfffff,17031530100,53,school,CICS Prairie School,education
354135871,872664ccaffffff,882664cca9fffff,17031440900,44,school,Saint Joachims School,education
354136384,872664cd0ffffff,882664cd0dfffff,17031630900,63,school,Saint Gall School,education
354136404,872664cccffffff,882664ccc7fffff,17031834300,45,school,Saint Felicitas School,education
354136875,872664cc2ffffff,882664cc2bfffff,17031680900,68,school,Saint Benedict School,education
354136882,872664ccdffffff,882664ccddfffff,17031460600,46,school,Saint Bronislava School,education
354136913,872664c12ffffff,882664c12dfffff,17031070700,7,school,Saint Bonaventure School,education
354137066,872664c8dffffff,882664c8d9fffff,17031300900,30,school,Our Lady of Tepeyac High School,education
354137200,872664cd8ffffff,882664cd81fffff,17031711300,71,school,Saint Ethelreda School,education
354137246,872664520ffffff,8826645205fffff,17031560900,56,school,Saint Daniel School,education
354138896,872664cabffffff,882664cab1fffff,17031838600,29,school,Shepard School,education
354139105,872664c83ffffff,882664c839fffff,17031252000,25,school,Catalyst Circle Rock Charter School,education
354140708,872664cc3ffffff,882664cc39fffff,17031690400,69,school,Shiloh Academy,education
354143955,872664c81ffffff,882664c815fffff,17031251800,25,school,Saint Thomas School,education
354144187,872664cd5ffffff,882664cd53fffff,17031670800,67,school,Saint Raphael School,education
354144216,872664560ffffff,882664561dfffff,17031530100,53,school,Saint Salomeas School,education
354144297,872664caaffffff,882664caa3fffff,17031271200,27,school,Saint Philip Basilica High School,education
354144642,872664c80ffffff,882664c801fffff,17031251300,25,school,Saint Pauls School,education
354145471,872664560ffffff,8826645609fffff,17031491300,49,school,Saint Nicholas School,education
354145500,872664cb5ffffff,882664cb55fffff,17031170200,17,school,Saint Pascal's School,education
354145766,872664caaffffff,882664caa9fffff,17031837100,27,school,Saint Mathews School,education
354146543,872664cd9ffffff,882664cd97fffff,17031730400,73,school,Saint Margaret School,education
354146618,872664c8dffffff,882664c8d9fffff,17031301200,30,school,Saint Marks School,education
354146684,872664cf0ffffff,882664cf01fffff,17031600900,60,school,Saint Mary Perpetual Help High School,education
354146703,872664560ffffff,882664560bfffff,17031530100,53,school,Saint Louis School,education
354146775,872664cd1ffffff,882664cd13fffff,17031671500,67,school,Benedict the African School,education
354146828,872664cb5ffffff,882664cb53fffff,17031151100,15,school,Saint Ladislaus School,education
354147086,872664ccdffffff,882664ccd1fffff,17031460600,46,school,Saint Joseph School,education
354147525,872664c12ffffff,882664c123fffff,17031832500,7,school,Thomas School,education
354151821,872664cf0ffffff,882664cf09fffff,17031839800,60,school,Trinity School,education
354163901,872664cf6ffffff,882664cf69fffff,17031310700,31,school,Saint Pius School,education
354164053,87266456cffffff,88266456c5fffff,17031540101,54,school,Wheatley Child-Parent Education Center,education
354171591,872664560ffffff,8826645607fffff,17031530200,53,school,Assumption Blessed Virgin Mary-Saint Catherine of Genoa School,education
354176240,872664cd9ffffff,882664cd97fffff,17031730600,73,school,Marra Collins South Preparatory School,education
354176245,872664cd9ffffff,882664cd9bfffff,17031490600,49,school,Saint Thaddeus School,education
354176405,872664564ffffff,882664cd93fffff,17031730500,73,school,Saint Helena School,education
354176485,872664cd8ffffff,882664cd8dfffff,17031711200,71,school,Emmanuel Christian School,education
354176488,872664cd8ffffff,882664cd8dfffff,17031710500,71,kindergarten,Little Flower School,education
354199559,872664c80ffffff,882664c805fffff,17031251300,25,place_of_worship,Jordan River Missionary Baptist Church,civic_community
354199687,872664560ffffff,8826645607fffff,17031530501,53,place_of_worship,House of Prayer Missionary Baptist Church,civic_community
354199815,872664c80ffffff,882664c80dfffff,17031250600,25,place_of_worship,Little Rock Missionary Baptist Church,civic_community
354199837,872664cddffffff,882664cdddfffff,17031842400,44,place_of_worship,Little Mercy Seat Missionary Baptist Church,civic_community
354199881,872664cabffffff,882664cabdfffff,17031837300,27,place_of_worship,Light House Gospel Missionary Baptist Church,civic_community
354199959,872664caeffffff,882664cae7fffff,17031231500,23,place_of_worship,Living Christ Missionary Baptist Church,civic_community
354200975,872664ca5ffffff,882664ca5bfffff,17031051300,5,place_of_worship,American Indian Chapel,civic_community
354201017,872664cdcffffff,882664cdc1fffff,17031671800,67,place_of_worship,Back to God Christian Reformed Church,civic_community
354201023,872664c83ffffff,882664c839fffff,17031252101,25,place_of_worship,Bethel Green Missionary Baptist Church,civic_community
354201055,872664caeffffff,882664c85bfffff,17031231200,23,place_of_worship,Walker Memorial Church of God in Christ,civic_community
354201062,872664ca1ffffff,882664ca1bfffff,17031221500,22,place_of_worship,Antioch Church of God Mountain Assembly,civic_community
354201087,872664c8cffffff,882664c8c5fffff,17031290900,29,place_of_worship,Christ New Hope Missionary Baptist Church,civic_community
354201125,872664cceffffff,882664ccebfffff,17031440101,44,place_of_worship,Christian Love Christian Church,civic_community
354201142,872664c85ffffff,882664c857fffff,17031251700,25,place_of_worship,Christian Home Missionary Baptist Church,civic_community
354201393,872664cf6ffffff,882664cf61fffff,17031310900,31,place_of_worship,Cermak Baptist Church,civic_community
354201411,872664c81ffffff,882664c819fffff,17031251800,25,place_of_worship,Christian Union Missionary Baptist Church,civic_community
354201437,872664caeffffff,882664cae5fffff,17031230700,23,place_of_worship,Church of Christ,civic_community
354201541,872664cc3ffffff,882664cc31fffff,17031691100,69,place_of_worship,Perlie Gates Missionary Baptist Church,civic_community
354201550,872664cd8ffffff,882664cd89fffff,17031710700,71,place_of_worship,Pillars of Jerusalem Missionary Baptist Church,civic_community
354201568,872664c85ffffff,882664c85bfffff,17031231200,23,place_of_worship,New Light Missionary Baptist Church,civic_community
354201606,872664564ffffff,8826645645fffff,17031730500,73,place_of_worship,Prayers Warriors Missionary Baptist Church,civic_community
354201615,872664cd1ffffff,882664cd1bfffff,17031671600,67,place_of_worship,Prince of Peace Missionary Baptist Church,civic_community
354201664,872664c8dffffff,882664c8c3fffff,17031841400,29,place_of_worship,Original Greater Rock Missionary Baptist Church,civic_community
354201674,872664c80ffffff,882664c80dfffff,17031251300,25,place_of_worship,The Old Rugged Cross Missionary Baptist Church,civic_community
354201684,872664c80ffffff,882664c80bfffff,17031251100,25,place_of_worship,Old Ship of Zion Missionary Baptist Church,civic_community
354201696,872664caaffffff,882664caa7fffff,17031260800,26,place_of_worship,Olivet United Methodist Church,civic_community
354201760,872664c80ffffff,882664c80bfffff,17031251100,25,place_of_worship,Original Rising Star Missionary Baptist Church,civic_community
354201832,872664d8bffffff,882664d8b3fffff,17031060200,6,place_of_worship,Nichiren Buddhist Temple,civic_community
354201852,872664c16ffffff,882664c169fffff,17031832100,6,place_of_worship,Northside Calvary Baptist Church,civic_community
354201949,872664caaffffff,882664caa7fffff,17031260800,26,place_of_worship,New Morning Star Missionary Baptist Church,civic_community
354201968,872664c8cffffff,882664c8cdfffff,17031843000,29,place_of_worship,New Mount Pleasant Missionary Baptist Church,civic_community
354201972,872664cc2ffffff,882664cc2dfffff,17031670900,67,place_of_worship,New Mount Sinai Missionary Baptist Church,civic_community
354201976,872664c80ffffff,882664c80bfffff,17031251100,25,place_of_worship,New Mount Zion Offspring Missionary Baptist Church,civic_community
354201991,872664564ffffff,8826645643fffff,17031490901,49,place_of_worship,New Saint John Missionary Baptist Church Number 2,civic_community
